"mae.rf","mae.lasso","mae.ridge","mae.elast","corr.rf","corr.lasso","corr.ridge","corr.elast"
7.41897260205202,7.44096438586143,7.49358696336352,7.43697354441031,0.0806112445370279,0.0926971877083906,NA,0.0926971877083906
7.56328813587024,6.51250386267712,7.2722698830074,6.44529716865119,0.30313820379824,0.490653575407988,0.409380551095275,0.502729551875118
8.27735497801545,8.3912206855791,8.22435080545064,8.38250691215804,0.173659484201321,NA,0.369094621051307,0.097598923711495
8.1984409991694,7.99225570550253,8.09071714773251,8.22849633205388,0.162074466794284,0.288636552940341,0.474970616346931,0.16105981878148
7.68935948240469,7.83135269590819,7.34086024020684,7.55778952702992,0.259596740642266,NA,0.468736073564004,0.316055380253158
7.35433825576988,6.75129163622822,6.90442727563747,6.7334746143319,0.250121407417666,0.47111202596009,0.576973454049223,0.48120097951216
7.48120639062036,7.3768341049953,7.50779531189808,7.40404446471547,0.317848343877346,0.322602294905057,0.412426881538783,0.323160402808787
7.09359506318393,7.47427890191358,7.47427890191358,7.47427890191358,0.328152657372518,NA,NA,NA
7.78590598851695,7.79570724087901,7.4523113120427,7.79570724087901,0.112156936729559,NA,0.503324035706724,NA
7.83098395329568,6.95240042383512,7.79188861675365,6.90749830881998,0.1374716327456,0.432090721237891,NA,0.447761198649589
7.12802776403896,7.0912144805167,6.74205961259125,6.96227971732818,0.0689352556992884,0.184942756573124,0.391916714034449,0.204737560025112
7.48606543215779,7.25961946069629,7.49936698620419,6.53205926842792,0.182375455744992,0.26017829025706,NA,0.433650838855549
6.56126753684841,6.63460343257153,6.63460343257153,6.63460343257153,0.140325532003056,NA,NA,NA
8.24361521260748,7.49014527587843,8.1763359221444,7.55222625200758,-0.00448975111501719,0.446971185382462,NA,0.453186794697205
7.97825739791718,7.08480186098081,7.9270379585417,7.0356712016431,0.167450736882409,0.4874122678511,0.360645564056141,0.497540214898517
8.17288580729912,7.8499356483927,7.85113267558105,7.67393810253989,0.00694660134678009,0.277569215402626,0.425179844093405,0.366101010399052
7.65320054757207,8.00172423665071,7.83215131623814,8.00172423665071,0.342680397519673,NA,0.405120759730335,NA
8.09158379642179,7.59945756030535,8.2857239177676,7.59483437423816,0.199049671936076,0.379502917411989,NA,0.394773320675055
8.04331801648405,8.04509374243591,8.04509374243591,8.04509374243591,0.131632413086796,NA,NA,NA
7.80976285466933,7.79699517893046,8.08464355465888,7.82985856459101,0.240290194053269,0.291354142134108,NA,0.291854798451419
7.79769400658094,7.84650173999599,7.84650173999599,7.84650173999599,0.021960888605958,NA,NA,NA
7.55746901966851,7.46063798242997,7.80644036348379,7.42336338253968,0.22050740798901,0.215305982033957,NA,0.237348800031786
7.01563816984287,6.93218292998591,7.02081689086109,6.8976169535062,0.323788935395022,0.338133378741658,0.388897308495546,0.352099330333967
7.62835070610702,7.27076407801065,8.02287117675255,7.25051880689792,0.261319689924689,0.466037492970901,NA,0.490914600662587
7.71085467372321,6.64740998422336,7.91034458403843,6.75378750395993,0.189957712500826,0.566612559063904,NA,0.566444489956569
8.16370947858172,8.05863449600761,8.16110147904771,7.97467269704817,0.0640785735676921,0.147223364879844,NA,0.211557059652569
8.34366013230427,8.50319915970183,8.50319915970183,8.50319915970183,0.226155691635471,NA,NA,NA
7.57029885462499,7.60671344525469,7.3950324155972,7.60671344525469,0.157722732188011,NA,0.40268302959461,NA
7.29883145780692,6.84680917299032,7.4481125874111,7.01576811582164,0.166127416010792,0.383886132357419,NA,0.350197990793914
7.08078306768154,7.29835679092013,7.01040110996657,7.29835679092013,0.164126984237776,NA,0.306784170084003,NA
7.150480957342,6.85309420385777,7.11049075544314,6.88717889909302,0.118803144179906,0.307929911586813,NA,0.306602873592873
8.39634641762161,8.46089392643963,8.22768799506455,8.46089392643963,0.143373416090713,NA,0.375626870744215,NA
6.63683612028047,6.46960462213979,6.64238856040726,6.36221308047386,0.219828058954885,0.355901701689981,0.356469146635534,0.382386393788225
7.8265362847246,7.3084129797324,7.60704596891074,7.23624705911735,0.174030166186799,0.452079884072358,0.4838736289664,0.475305516185549
8.09293606508619,7.34772477423833,7.9326801523636,7.26641818697042,0.294787946846022,0.491527244344851,0.435222982207322,0.53129015273017
7.23602410643947,7.42642182818045,7.42642182818045,7.41004958567318,0.261208688671332,NA,NA,0.17013764288478
7.32710756641006,6.8396129852506,7.70229101084761,6.8186864330806,0.26140329926875,0.422262067458673,NA,0.42664161331149
7.25520160539706,7.05314109584344,7.29235737777798,6.99740359755103,0.227013743620032,0.416877896367171,0.512198402205151,0.449633156434099
8.51237424537698,8.41200097375524,8.32281407501176,8.41200097375524,0.0199732279599549,NA,0.444223176340169,NA
6.75620520240862,6.44547009817473,6.84443295118291,6.45761477129698,0.18515951144972,0.355528072848221,NA,0.366913677309246
7.20721809877941,6.84910073773239,6.83257066331341,6.73688559908161,0.120100865606174,0.37770476524766,0.39725495503826,0.382029017665565
