"mae.mymethod","mae.mymethodPen","corr.mymethod","corr.mymethodPen","Di","lambda.id","id.which","seed"
7.98265656753219,7.4073912738179,0.738271953691337,0.765539658599614,0.823086786103801,74,2,4046
8.36219910295484,7.14985944830881,0.709087614030566,0.812696697012783,11.0903370267473,71,2,6846
8.70060233410877,7.60754892467886,0.73462581638988,0.77684841437702,1.71098982934128,97,2,7917
7.68863566442353,6.30410998937005,0.729218389614903,0.839803262813372,3.85301494377885,70,2,872
7.6448876169275,7.65326540236611,0.730642610112316,0.730474328517747,1.66600819126738,1,1,7265
8.59590957956226,7.55157462548969,0.723859985570514,0.787525638713599,2.36855171168864,84,2,6220
8.49220905582631,8.95475677418729,0.587364237781632,0.534208733278318,2.26068268643475,63,2,6528
8.23403048227591,7.64967485523827,0.750296185779023,0.757056420153978,2.5868254078665,91,2,5107
9.25610232681077,8.39322430867703,0.655972534175043,0.764084584274649,3.68678903994898,100,2,9700
7.34762114522351,7.72071093473232,0.669780066458689,0.648067209144614,2.94753574689117,40,1,7806
9.35515899692173,7.46496400701383,0.685714014403725,0.824634658361945,2.90131833348685,73,2,7287
8.27320519678363,6.29847400833582,0.741250367928544,0.837311359409838,1.44710609728839,78,2,9742
8.66397566148901,8.99420481337139,0.728664406414214,0.70070752650775,0.844607713895298,66,2,709
9.4140462814548,7.65823704473023,0.606172773440672,0.746572989916394,6.0512556910068,62,2,5461
8.31183551264515,7.28345343091148,0.69653617344995,0.768574140736068,1.23855809852827,100,2,2588
8.26454620053825,7.81227051470655,0.73682075424261,0.727706400726817,0.592133849758491,79,2,2545
9.24545225589806,8.7653694965288,0.612617980459661,0.644347259305657,1.30836174886517,49,2,4575
8.68656043829824,8.2918016868871,0.730396692045515,0.743087682825333,0.284401154369868,72,2,6405
8.34506325546303,7.48626459665468,0.743723532605434,0.777198823706929,15.2606925744281,76,2,5546
8.29307087545475,6.67129813879436,0.687738994532447,0.80515331992438,1.94126001564529,99,2,7406
6.93946019014578,8.09893523980459,0.779595835845659,0.701846587530645,2.96787638819064,95,1,9602
6.50713007188195,6.24527426221441,0.854220916034681,0.845543858393464,0.426011756527792,98,2,4639
7.43333584025767,7.36144574224369,0.73381218927674,0.752507367022765,2.25732055661015,51,1,6693
7.99158407303132,8.72283043913381,0.816763018982091,0.744138375570445,0.456125918781122,47,1,4926
8.23771576761558,8.08487305984283,0.80181796825705,0.793928070308125,0.643245727703763,73,2,1106
9.88762966255702,8.12712580259988,0.683256868944905,0.780264749747597,1.26881270155041,86,2,9144
9.1960738211311,7.79594646458452,0.743286420155217,0.807386112652559,6.99452373677125,89,2,2116
7.25478806869945,7.0322377581233,0.788756505679261,0.811400568331756,1.63265439026779,89,2,9141
8.30661749704418,7.52827251977116,0.737095568911186,0.753915569530915,6.99490431293322,56,2,9088
9.1662686714873,7.36112904738369,0.712228893329354,0.840450773695448,8.51688040843949,57,2,2152
8.59340966015214,8.48146081900407,0.757518282868935,0.748144564750547,1.84293532848406,100,2,9258
7.79860822869406,8.68320504714011,0.696450472293252,0.659150315600075,0.117201452631753,100,2,3541
7.73017614667471,6.99440600924828,0.781556666679354,0.754043534833058,4.56840004722635,66,2,3114
7.38034059360297,7.1926569001667,0.786414509525778,0.810160325005839,1.01501180237045,100,2,6780
8.76004459715978,8.49531419272855,0.726631048469462,0.737861192798446,1.75148453802065,50,1,3507
9.70567431536003,8.45532393221562,0.745446707095664,0.723197653544662,2.51169048976208,65,2,219
8.50612889655362,7.56908594988087,0.764805522467815,0.799888818467122,7.21108236693812,56,2,6531
8.11378950515439,8.62783839698606,0.741971343958426,0.741364404240547,1.39586716557313,94,2,7331
8.33292039844106,7.23657869248981,0.738266123484584,0.795893116555908,0.83738073855459,84,2,750
9.26801590362973,9.15124844437463,0.670008876405521,0.687472414911117,7.19969206775705,66,2,8933
8.50042215956953,8.5073596718234,0.729142769227293,0.729016421329986,0.392681364700302,78,1,958
8.30592885198497,8.31032451285954,0.699838287147483,0.738004231345749,1.48771402289505,79,2,1638
8.64927794609157,8.32915180304312,0.748409578690717,0.762288550824736,2.41355977513707,87,1,1702
8.55480342068965,9.15004378112521,0.721953599574801,0.66405614281977,1.61170316466174,54,1,1172
9.36961990215416,8.00221323839705,0.776549148626938,0.801798002450433,0.716123802330109,60,2,1360
7.02751382778886,7.13263222125893,0.753541026537551,0.725462391738317,2.89527282817714,38,1,8638
9.02338153592745,8.53209213000264,0.634799127648581,0.689353041397753,1.44226602059831,72,2,1030
7.78234801479189,8.39760304733761,0.713858367972216,0.669770005090551,0.191261690796658,68,2,5016
8.23303339456983,8.37565401242619,0.747677649826394,0.744446915744851,7.17160546785448,97,2,206
